epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0906,0.65862,1.59131,1.28059,0.98129,0.96249,0.97794,0.75517,0.82125,1.5329,1.20678,0.000368004,0.000368004,0.000368004
2,84.1118,0.59306,0.83465,1.20846,0.91687,0.95872,0.95886,0.73257,0.79846,1.3539,1.13288,0.000723718,0.000723718,0.000723718
3,124.406,0.59812,0.69359,1.2067,0.86519,0.85372,0.91922,0.70908,0.82062,1.35814,1.12557,0.00106477,0.00106477,0.00106477
4,163.746,0.59744,0.62975,1.21693,0.94357,0.94037,0.96517,0.73895,0.80876,0.68638,1.12026,0.00104501,0.00104501,0.00104501
5,204.141,0.56984,0.56348,1.1951,0.96749,0.95547,0.97272,0.77651,0.76181,0.60964,1.03648,0.00102301,0.00102301,0.00102301
6,243.699,0.54395,0.5354,1.17424,0.96964,0.8789,0.96363,0.78892,0.73187,0.73905,1.03638,0.00100101,0.00100101,0.00100101
7,282.152,0.51207,0.49371,1.1519,0.97999,0.9633,0.97089,0.7798,0.75264,0.60318,1.01635,0.000979013,0.000979013,0.000979013
8,320.468,0.51322,0.49152,1.14717,0.99236,0.96789,0.97463,0.81215,0.64632,0.46083,0.89675,0.000957015,0.000957015,0.000957015
9,357.451,0.48737,0.44644,1.13795,0.99056,0.96316,0.96947,0.78616,0.6914,0.48133,0.9779,0.000935018,0.000935018,0.000935018
10,395.74,0.48179,0.44751,1.13055,0.97231,0.96653,0.97253,0.79937,0.69247,0.54081,0.92869,0.00091302,0.00091302,0.00091302
11,433.421,0.46605,0.42559,1.11964,0.97247,0.97205,0.97373,0.81678,0.68279,0.45847,0.96741,0.000891022,0.000891022,0.000891022
12,472.247,0.4697,0.40915,1.12513,0.96784,0.9663,0.97524,0.80986,0.65797,0.44986,0.92965,0.000869024,0.000869024,0.000869024
13,510.605,0.47128,0.4222,1.12168,0.98567,0.96789,0.97633,0.81312,0.60437,0.4383,0.89255,0.000847026,0.000847026,0.000847026
14,548.237,0.44315,0.40992,1.10541,0.98869,0.97706,0.9738,0.81084,0.6491,0.45166,0.92932,0.000825029,0.000825029,0.000825029
15,586.524,0.44432,0.38904,1.11017,0.9859,0.96235,0.97207,0.84177,0.6181,0.47636,0.87648,0.000803031,0.000803031,0.000803031
16,624.602,0.43996,0.39496,1.10078,0.99305,0.97706,0.975,0.84839,0.57321,0.4206,0.83217,0.000781033,0.000781033,0.000781033
17,662.763,0.43382,0.39739,1.10179,0.98604,0.97168,0.97434,0.82271,0.68625,0.43232,0.98175,0.000759035,0.000759035,0.000759035
18,700.791,0.44134,0.37635,1.10896,0.98518,0.97706,0.97472,0.85119,0.60289,0.45914,0.85585,0.000737037,0.000737037,0.000737037
19,738.36,0.42617,0.37542,1.09023,0.99532,0.97529,0.97791,0.87391,0.55589,0.42656,0.79023,0.00071504,0.00071504,0.00071504
20,778.08,0.42244,0.37497,1.09364,0.97201,0.97706,0.9734,0.84119,0.57435,0.49395,0.827,0.000693042,0.000693042,0.000693042
21,816.859,0.41325,0.36507,1.08758,0.9953,0.97144,0.97764,0.84646,0.59578,0.43017,0.84215,0.000671044,0.000671044,0.000671044
22,854.893,0.40587,0.34578,1.08599,0.97877,0.97706,0.97343,0.84382,0.57809,0.38338,0.82771,0.000649046,0.000649046,0.000649046
23,893.821,0.39284,0.34625,1.07997,0.98018,0.97248,0.97509,0.84529,0.60334,0.44657,0.87335,0.000627048,0.000627048,0.000627048
24,931.923,0.4003,0.33811,1.08116,0.98908,0.97706,0.97463,0.85987,0.5408,0.37525,0.80112,0.000605051,0.000605051,0.000605051
25,970.572,0.38967,0.32992,1.06936,0.99531,0.97369,0.975,0.86213,0.53239,0.41499,0.76636,0.000583053,0.000583053,0.000583053
26,1009.09,0.39414,0.3337,1.07371,0.97965,0.95872,0.98079,0.85055,0.54814,0.42614,0.78694,0.000561055,0.000561055,0.000561055
27,1048.05,0.38233,0.3353,1.07046,0.98608,0.97492,0.9741,0.85613,0.54808,0.39963,0.78924,0.000539057,0.000539057,0.000539057
28,1086.42,0.37763,0.32018,1.07177,0.9953,0.97082,0.97495,0.86507,0.50054,0.34792,0.73702,0.000517059,0.000517059,0.000517059
29,1125.2,0.37193,0.31602,1.05436,0.99002,0.97706,0.97951,0.86572,0.54289,0.37514,0.81592,0.000495062,0.000495062,0.000495062
